Country/Territory,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,country_code
Aruba,59106.0,60016.36538461538,60926.730769230766,61837.09615384616,62747.46153846154,63657.82692307692,64568.19230769231,65478.557692307695,66388.92307692308,67299.28846153847,68209.65384615384,69120.01923076923,70030.38461538461,70940.75,71851.11538461539,72761.48076923077,73671.84615384616,74582.21153846153,75492.57692307692,76402.94230769231,77313.30769230769,78223.67307692308,79134.03846153847,80044.40384615384,80954.76923076923,81865.13461538462,82775.5,83685.86538461539,84596.23076923077,85506.59615384616,86416.96153846153,87327.32692307692,88237.69230769231,89148.05769230769,90058.42307692308,90968.78846153848,91879.15384615384,92789.51923076923,93699.88461538462,94610.25,95520.61538461538,96430.98076923078,97341.34615384616,98251.71153846152,99162.07692307692,100072.44230769233,100982.80769230767,101893.17307692308,102803.53846153848,103713.90384615384,104624.26923076923,105534.63461538462,106445.0,AW
Australia,12595034.0,12856233.596153846,13117433.192307692,13378632.788461538,13639832.384615384,13901031.98076923,14162231.576923076,14423431.173076924,14684630.76923077,14945830.365384616,15207029.961538462,15468229.557692308,15729429.153846154,15990628.75,16251828.346153846,16513027.942307692,16774227.538461538,17035427.134615384,17296626.730769232,17557826.326923076,17819025.923076924,18080225.519230768,18341425.115384616,18602624.711538464,18863824.307692308,19125023.903846152,19386223.5,19647423.096153848,19908622.69230769,20169822.28846154,20431021.884615384,20692221.480769232,20953421.07692308,21214620.673076924,21475820.269230768,21737019.865384616,21998219.461538464,22259419.057692308,22520618.653846152,22781818.25,23043017.846153848,23304217.44230769,23565417.038461536,23826616.634615384,24087816.230769232,24349015.82692308,24610215.423076924,24871415.019230768,25132614.615384616,25393814.211538464,25655013.807692308,25916213.403846152,26177413.0,AU
Austria,7465301.0,7493653.230769231,7522005.461538462,7550357.692307692,7578709.923076923,7607062.153846154,7635414.384615385,7663766.615384615,7692118.846153846,7720471.076923077,7748823.307692308,7777175.538461538,7805527.769230769,7833880.0,7862232.230769231,7890584.461538462,7918936.692307692,7947288.923076923,7975641.153846154,8003993.384615385,8032345.615384615,8060697.846153846,8089050.076923077,8117402.307692308,8145754.538461538,8174106.769230769,8202459.0,8230811.230769231,8259163.461538462,8287515.692307692,8315867.923076923,8344220.153846154,8372572.384615385,8400924.615384616,8429276.846153846,8457629.076923076,8485981.307692308,8514333.538461538,8542685.76923077,8571038.0,8599390.23076923,8627742.461538462,8656094.692307692,8684446.923076924,8712799.153846154,8741151.384615384,8769503.615384616,8797855.846153846,8826208.076923076,8854560.307692308,8882912.538461538,8911264.76923077,8939617.0,AT
Azerbaijan,5425317.0,5520177.711538462,5615038.423076923,5709899.134615385,5804759.846153846,5899620.557692308,5994481.269230769,6089341.980769231,6184202.692307692,6279063.403846154,6373924.115384615,6468784.826923077,6563645.538461538,6658506.25,6753366.961538462,6848227.673076923,6943088.384615384,7037949.096153846,7132809.807692308,7227670.519230769,7322531.23076923,7417391.942307692,7512252.653846154,7607113.365384615,7701974.076923077,7796834.788461538,7891695.5,7986556.211538462,8081416.923076923,8176277.634615384,8271138.346153846,8365999.057692308,8460859.769230768,8555720.48076923,8650581.192307692,8745441.903846154,8840302.615384616,8935163.326923076,9030024.038461538,9124884.75,9219745.46153846,9314606.173076924,9409466.884615384,9504327.596153846,9599188.307692308,9694049.019230768,9788909.73076923,9883770.442307692,9978631.153846154,10073491.865384616,10168352.576923076,10263213.288461538,10358074.0,AZ
Bahamas,179129.0,183568.5192307692,188008.03846153847,192447.5576923077,196887.0769230769,201326.59615384616,205766.11538461535,210205.63461538465,214645.15384615384,219084.67307692303,223524.1923076923,227963.71153846156,232403.23076923075,236842.75,241282.2692307692,245721.78846153844,250161.3076923077,254600.8269230769,259040.34615384616,263479.8653846154,267919.3846153846,272358.9038461539,276798.42307692306,281237.9423076923,285677.4615384615,290116.98076923075,294556.5,298996.01923076925,303435.53846153844,307875.0576923077,312314.5769230769,316754.0961538461,321193.6153846154,325633.1346153846,330072.6538461539,334512.17307692306,338951.6923076923,343391.2115384615,347830.73076923075,352270.25,356709.76923076925,361149.2884615384,365588.8076923077,370028.3269230769,374467.8461538461,378907.3653846154,383346.8846153846,387786.4038461539,392225.9230769231,396665.44230769225,401104.9615384615,405544.4807692308,409984.0,BS
Bahrain,222555.0,246587.2692307692,270619.53846153844,294651.8076923077,318684.07692307694,342716.3461538461,366748.6153846154,390780.8846153846,414813.1538461539,438845.4230769231,462877.6923076923,486909.9615384616,510942.2307692308,534974.5,559006.7692307692,583039.0384615385,607071.3076923077,631103.576923077,655135.8461538461,679168.1153846154,703200.3846153846,727232.6538461538,751264.9230769231,775297.1923076923,799329.4615384615,823361.7307692308,847394.0,871426.2692307692,895458.5384615385,919490.8076923076,943523.0769230768,967555.346153846,991587.6153846154,1015619.8846153846,1039652.153846154,1063684.423076923,1087716.6923076925,1111748.9615384615,1135781.2307692308,1159813.5,1183845.7692307692,1207878.0384615385,1231910.3076923075,1255942.576923077,1279974.8461538462,1304007.1153846153,1328039.3846153845,1352071.6538461538,1376103.923076923,1400136.1923076925,1424168.4615384615,1448200.7307692308,1472233.0,BH
Bangladesh,67541860.0,69535023.6923077,71528187.38461539,73521351.07692307,75514514.76923077,77507678.46153846,79500842.15384616,81494005.84615384,83487169.53846154,85480333.23076923,87473496.92307693,89466660.61538461,91459824.3076923,93452988.0,95446151.6923077,97439315.3846154,99432479.07692309,101425642.76923075,103418806.46153846,105411970.15384614,107405133.84615386,109398297.53846154,111391461.23076925,113384624.92307691,115377788.6153846,117370952.3076923,119364116.0,121357279.69230768,123350443.3846154,125343607.07692309,127336770.76923075,129329934.46153846,131323098.15384614,133316261.84615386,135309425.53846154,137302589.23076922,139295752.92307693,141288916.6153846,143282080.3076923,145275244.0,147268407.6923077,149261571.38461536,151254735.07692307,153247898.76923078,155241062.46153846,157234226.15384614,159227389.84615386,161220553.53846154,163213717.23076922,165206880.92307693,167200044.6153846,169193208.3076923,171186372.0,BD
Barbados,241397.0,242170.8076923077,242944.61538461535,243718.42307692303,244492.2307692308,245266.03846153847,246039.84615384616,246813.65384615384,247587.46153846156,248361.2692307692,249135.0769230769,249908.88461538465,250682.6923076923,251456.5,252230.3076923077,253004.11538461535,253777.92307692303,254551.7307692308,255325.53846153847,256099.34615384616,256873.15384615384,257646.96153846156,258420.7692307692,259194.5769230769,259968.38461538465,260742.1923076923,261516.0,262289.8076923077,263063.6153846154,263837.42307692306,264611.23076923075,265385.03846153844,266158.8461538461,266932.6538461539,267706.4615384616,268480.26923076925,269254.07692307694,270027.8846153846,270801.6923076923,271575.5,272349.3076923077,273123.1153846154,273896.92307692306,274670.73076923075,275444.53846153844,276218.3461538461,276992.1538461539,277765.9615384616,278539.76923076925,279313.57692307694,280087.3846153846,280861.1923076923,281635.0,BB
Belarus,9170786.0,9177789.23076923,9184792.461538462,9191795.692307692,9198798.923076924,9205802.153846154,9212805.384615384,9219808.615384616,9226811.846153846,9233815.076923076,9240818.307692308,9247821.538461538,9254824.76923077,9261828.0,9268831.23076923,9275834.461538462,9282837.692307692,9289840.923076924,9296844.153846154,9303847.384615384,9310850.615384616,9317853.846153846,9324857.076923076,9331860.307692308,9338863.538461538,9345866.76923077,9352870.0,9359873.23076923,9366876.461538462,9373879.692307692,9380882.923076924,9387886.153846154,9394889.384615384,9401892.615384616,9408895.846153846,9415899.076923076,9422902.307692308,9429905.538461538,9436908.76923077,9443912.0,9450915.23076923,9457918.461538462,9464921.692307692,9471924.923076924,9478928.153846154,9485931.384615384,9492934.615384616,9499937.846153846,9506941.076923076,9513944.307692308,9520947.538461538,9527950.76923077,9534954.0,BY
Belgium,9629376.0,9668348.192307692,9707320.384615384,9746292.576923076,9785264.76923077,9824236.961538462,9863209.153846154,9902181.346153846,9941153.538461538,9980125.73076923,10019097.923076924,10058070.115384616,10097042.307692308,10136014.5,10174986.692307692,10213958.884615384,10252931.076923076,10291903.26923077,10330875.461538462,10369847.653846154,10408819.846153846,10447792.038461538,10486764.23076923,10525736.423076924,10564708.615384616,10603680.807692308,10642653.0,10681625.192307692,10720597.384615384,10759569.576923076,10798541.76923077,10837513.961538462,10876486.153846154,10915458.346153846,10954430.538461538,10993402.73076923,11032374.923076924,11071347.115384616,11110319.307692308,11149291.5,11188263.692307692,11227235.884615384,11266208.076923076,11305180.269230768,11344152.461538462,11383124.653846154,11422096.846153846,11461069.038461538,11500041.23076923,11539013.423076924,11577985.615384616,11616957.807692308,11655930.0,BE
